"","symbol","ActivePremium","Alpha","AnnualizedAlpha","Beta","Beta-","Beta+","Correlation","Correlationp-value","InformationRatio","R-squared","TrackingError","TreynorRatio"
"1","MMM",0.0974,0.0039,0.048,0.7005,0.7195,1.6323,0.6431,0.003,0.4562,0.4136,0.2136,-0.2225
"2","AOS",0.255,0.0241,0.3315,0.8429,1.3968,0.6595,0.5224,0.0218,0.764,0.2729,0.3338,0.0021
"3","ABT",0.1722,-5e-04,-0.0055,0.2168,0.5413,-1.1489,0.245,0.312,0.6152,0.06,0.28,-0.3738
"4","ACN",0.2505,0.0151,0.1967,0.6155,0.9198,-0.6671,0.6644,0.0019,1.3128,0.4415,0.1909,-0.0045
"5","ATVI",0.2646,0.0199,0.2664,0.5232,1.2159,0.7965,0.2916,0.2257,0.6165,0.0851,0.4292,0.0217
"6","AYI",0.0825,0.0258,0.3577,1.4179,1.1589,-0.1814,0.6548,0.0023,0.2026,0.4288,0.407,-0.1205
"7","ADBE",0.0301,0.0316,0.4533,1.9205,1.9504,2.7581,0.8893,0,0.0926,0.7909,0.3254,-0.1162
"8","AAP",0.3602,0.0266,0.3705,0.6541,0.9282,-0.2438,0.5038,0.0279,1.2733,0.2538,0.2829,0.1634
"9","AMD",-0.1994,0.0195,0.2614,2.0072,0.0543,2.4505,0.5961,0.0071,-0.2868,0.3554,0.6953,-0.2255
"10","AES",-0.0791,0.0167,0.2198,1.691,1.2287,0.5636,0.6997,9e-04,-0.1765,0.4895,0.4483,-0.1966
"11","AET",-0.146,-0.0033,-0.0386,1.2726,1.4824,-1.4662,0.5947,0.0072,-0.3478,0.3537,0.4198,-0.3138
"12","AMG",-0.1249,0.0354,0.5173,2.3418,1.8956,0.7336,0.7492,2e-04,-0.2102,0.5614,0.5946,-0.1615
"13","AFL",-0.0787,0.0333,0.4817,2.0828,1.6631,4.472,0.7176,5e-04,-0.1425,0.515,0.5526,-0.1594
"14","A",-0.0681,0.0053,0.0657,1.2847,1.2751,1.2322,0.6458,0.0028,-0.1829,0.417,0.3725,-0.2502
"15","APD",0.0468,0.0146,0.1894,1.2729,1.008,1.9427,0.795,0,0.1926,0.632,0.2431,-0.1622
"16","AKAM",-0.0777,0.0023,0.0279,0.8824,-0.6243,0.7791,0.333,0.1636,-0.1289,0.1109,0.6028,-0.3751
"17","ALK",0.0869,-0.0045,-0.0523,0.0028,-0.3651,-3.2098,0.0013,0.9958,0.1518,0,0.5726,-59.2716
"18","ALB",-0.0275,0.0128,0.1655,1.483,1.1019,1.4191,0.8084,0,-0.0964,0.6535,0.2851,-0.1893
"19","ARE",-0.1961,-0.0015,-0.0173,1.4144,2.3674,-1.7652,0.5616,0.0123,-0.383,0.3154,0.5121,-0.3177
"20","ALGN",0.0304,0.0523,0.8431,2.391,1.7523,2.4442,0.7654,1e-04,0.0515,0.5858,0.5892,-0.0932
"21","LNT",0.0355,-0.0044,-0.0515,0.5807,0.5294,-0.2825,0.4933,0.0318,0.1332,0.2434,0.2666,-0.375
"22","ALL",-0.0924,0.0248,0.3425,2.0061,2.4573,1.415,0.8143,0,-0.2194,0.6631,0.4214,-0.1723
"23","GOOGL",-0.0056,0.0043,0.0523,1.0116,0.0256,1.0982,0.5728,0.0104,-0.0159,0.3281,0.3489,-0.2559
"24","GOOG",-0.0056,0.0043,0.0523,1.0116,0.0256,1.0982,0.5728,0.0104,-0.0159,0.3281,0.3489,-0.2559
"25","MO",0.1007,-0.0046,-0.0544,0.3209,0.1919,0.137,0.3391,0.1556,0.3732,0.115,0.2699,-0.4755
"26","AMZN",0.1976,0.0271,0.3784,1.0616,0.9651,0.0504,0.5555,0.0135,0.5156,0.3086,0.3833,-0.0524
"27","AEE",-0.0872,-0.0136,-0.1513,0.7327,1.215,-0.2467,0.5476,0.0152,-0.3145,0.2999,0.2774,-0.4648
"28","AAL",-0.4938,-0.0105,-0.1193,0.7117,-0.1978,0.9732,0.1109,0.6513,-0.3209,0.0123,1.5387,-1.0498
"29","AEP",0.0164,-0.0093,-0.1056,0.5187,0.65,-0.6042,0.5912,0.0077,0.0794,0.3495,0.2063,-0.4567
"30","AXP",-0.1636,0.0292,0.4125,2.3858,1.3012,6.8424,0.6799,0.0014,-0.2323,0.4623,0.7044,-0.1747
"31","AIG",-0.652,0.0264,0.3678,4.5578,3.6101,12.6434,0.7031,8e-04,-0.4647,0.4944,1.4033,-0.1986
"32","AMT",0.064,0.0012,0.0146,0.7303,0.5867,0.1474,0.6839,0.0012,0.322,0.4677,0.1987,-0.2592
"33","AWK",0.2258,0.0078,0.0973,0.3057,-0.2411,-1.4278,0.2784,0.315,0.6635,0.0775,0.3404,-0.0705
"34","AMP",-0.1603,0.0216,0.2929,2.2033,2.3919,2.9773,0.826,0,-0.3453,0.6823,0.4641,-0.1877
"35","ABC",0.144,0.0079,0.0994,0.6846,0.9578,0.0586,0.6408,0.0031,0.6797,0.4106,0.2118,-0.1597
"36","AME",0.1064,0.0134,0.1738,0.9936,1.3284,1.0734,0.6805,0.0013,0.4128,0.4631,0.2578,-0.1478
"37","AMGN",0.2304,0.0074,0.0927,0.2337,0.3121,-0.5703,0.1639,0.5025,0.597,0.0269,0.386,-0.0978
"38","APH",0.0677,0.0211,0.2847,1.382,1.5422,2.0158,0.7505,2e-04,0.2201,0.5633,0.3074,-0.1343
"39","ADI",0.1568,0.0213,0.2874,1.1202,1.1885,0.6077,0.7403,3e-04,0.6352,0.548,0.2469,-0.0861
"40","ANDV",-0.3117,-0.0234,-0.2474,1.0702,0.7803,-0.9645,0.3587,0.1316,-0.4642,0.1286,0.6715,-0.5279
"41","ANSS",0.1224,0.0301,0.4277,1.5456,1.5007,1.6386,0.8223,0,0.4228,0.6761,0.2894,-0.0847
"42","ANTM",-0.0143,0.0158,0.2064,1.391,0.5408,0.1676,0.662,0.002,-0.0365,0.4382,0.3911,-0.1924
"43","AON",0.1029,-0.0017,-0.0201,0.4077,0.0992,0.029,0.3663,0.123,0.3579,0.1342,0.2875,-0.3689
"44","APA",0.0954,0.0183,0.2431,1.1325,1.4771,2.1927,0.6166,0.0049,0.2725,0.3802,0.35,-0.1395
"45","AIV",-0.2172,0.0323,0.4642,2.5948,3.2227,1.8152,0.8207,0,-0.3739,0.6735,0.5808,-0.1813
"46","AAPL",0.1175,0.0318,0.4555,1.4483,0.9676,2.0516,0.6518,0.0025,0.2797,0.4249,0.4202,-0.0937
"47","AMAT",-0.005,8e-04,0.0097,0.9311,0.7857,1.0667,0.6337,0.0036,-0.0183,0.4016,0.2744,-0.2774
"48","ADM",0.1048,-6e-04,-0.0073,0.2175,0.6185,0.2605,0.1119,0.6484,0.2086,0.0125,0.5023,-0.6829
"49","AJG",0.189,0.0251,0.3472,1.081,0.7663,1.7392,0.6225,0.0044,0.576,0.3875,0.3281,-0.0595
"50","AIZ",-0.1982,0.0081,0.1018,1.8102,2.4916,-0.4604,0.7268,4e-04,-0.4344,0.5282,0.4562,-0.2494
"51","T",0.0736,-0.0017,-0.02,0.5501,0.6065,0.2383,0.5091,0.026,0.2955,0.2592,0.249,-0.3266
"52","ADSK",-0.1763,0.0232,0.3175,2.3844,1.9065,2.111,0.8887,0,-0.395,0.7898,0.4463,-0.1802
"53","ADP",0.1377,0.0043,0.0522,0.5387,1.0149,0.6752,0.493,0.032,0.5405,0.243,0.2547,-0.2147
"54","AZO",0.4939,0.0322,0.4627,0.4584,0.3258,-0.519,0.3324,0.1644,1.4544,0.1105,0.3395,0.5247
"55","AVB",0.0075,0.0159,0.208,1.4838,1.924,2.1357,0.8752,0,0.0325,0.7659,0.2295,-0.1657
"56","AVY",-0.0693,0.0092,0.1164,1.5326,1.543,1.7312,0.8304,0,-0.2483,0.6895,0.2791,-0.2105
"57","BLL",0.2552,0.0176,0.2331,0.5995,0.574,-1.3034,0.4306,0.0657,0.8032,0.1855,0.3178,0.0033
"58","BAC",-0.2603,0.0536,0.8711,3.1184,2.9363,6.3223,0.7136,6e-04,-0.2901,0.5093,0.8972,-0.1647
"59","BAX",0.2048,0.0046,0.056,0.3083,0.5605,-0.22,0.3339,0.1624,0.7643,0.1115,0.2679,-0.1574
"60","BDX",0.1942,0.0113,0.1446,0.6107,0.9969,-0.3622,0.5281,0.0201,0.7629,0.2789,0.2546,-0.0968
"61","BBY",0.0312,0.0222,0.301,1.4338,1.223,-0.2428,0.6224,0.0044,0.0698,0.3874,0.447,-0.1549
"62","BIIB",0.0084,-0.0066,-0.0767,0.3977,0.8583,0.9116,0.2192,0.3672,0.0187,0.0481,0.4506,-0.6157
"63","BLK",0.1833,0.0479,0.7528,1.9103,2.5367,1.6683,0.8284,0,0.4813,0.6863,0.3808,-0.0366
"64","HRB",0.1548,0.0052,0.0641,0.4284,1.3528,-2.6236,0.3041,0.2055,0.4405,0.0925,0.3515,-0.2298
"65","BA",-0.1135,-0.0023,-0.0273,1.3098,0.582,1.7475,0.7864,1e-04,-0.4382,0.6184,0.2589,-0.28
"66","BWA",0.0563,0.0362,0.5327,1.904,1.2696,3.687,0.7936,1e-04,0.136,0.6297,0.4139,-0.1035
"67","BXP",-0.0653,0.0128,0.1649,1.5856,1.8447,2.1804,0.7507,2e-04,-0.179,0.5635,0.3647,-0.2009
"68","BSX",0.1229,0.027,0.376,1.2839,1.2495,-0.2325,0.6207,0.0046,0.3097,0.3853,0.3968,-0.1016
"69","BMY",0.0925,0.001,0.0122,0.5489,0.0505,-0.3794,0.4347,0.0629,0.3137,0.1889,0.2949,-0.293
"70","CHRW",0.2913,0.0263,0.3651,0.8584,0.3215,0.844,0.6131,0.0053,1.084,0.3759,0.2687,0.0443
"71","CA",0.0634,0.001,0.0125,0.6962,0.9238,-0.9215,0.5757,0.0099,0.2542,0.3314,0.2493,-0.2728
"72","CDNS",-0.2095,-0.0012,-0.0148,1.4762,1.1424,1.5754,0.5822,0.0089,-0.4109,0.3389,0.51,-0.3135
"73","CPB",0.1525,1e-04,7e-04,0.3007,0.5207,-0.0179,0.3026,0.2079,0.5375,0.0916,0.2837,-0.3352
"74","COF",-0.1278,0.0279,0.3915,1.953,1.7722,3.73,0.6148,0.0051,-0.1979,0.378,0.646,-0.1951
"75","CAH",-0.0781,-0.0116,-0.1302,0.7868,1.0449,0.2673,0.5873,0.0082,-0.2933,0.3449,0.2663,-0.4212
"76","KMX",0.0034,0.0147,0.191,1.1096,0.5331,0.3547,0.4491,0.0537,0.0065,0.2017,0.5327,-0.2252
"77","CCL",-0.0137,0.013,0.1671,1.3556,1.5856,1.2094,0.6997,9e-04,-0.0397,0.4896,0.3444,-0.1969
"78","CAT",-0.0958,0.0163,0.2135,1.8188,2.2875,2.1637,0.837,0,-0.2754,0.7006,0.3479,-0.1919
"79","CNC",0.1317,0.0245,0.3373,1.0795,0.8223,-0.4994,0.4689,0.0428,0.2685,0.2199,0.4905,-0.1126
"80","CNP",0.0373,3e-04,0.0031,0.7241,0.9111,-0.5903,0.5229,0.0216,0.1278,0.2734,0.2921,-0.2982
"81","CERN",0.3075,0.038,0.5646,1.2239,-0.0264,2.1166,0.6873,0.0011,0.972,0.4723,0.3164,0.0443
"82","CF",0.1224,0.0255,0.3521,0.9073,1.2958,1.4485,0.3405,0.1538,0.2025,0.1159,0.6043,-0.1443
"83","SCHW",0.0925,0.0222,0.3009,1.3357,1.4006,2.4763,0.7356,3e-04,0.3011,0.5412,0.3073,-0.1204
"84","CVX",0.1215,0.0039,0.0477,0.5862,0.4898,0.591,0.5266,0.0205,0.488,0.2773,0.2489,-0.2249
"85","CMG",-0.0249,0.0073,0.0908,1.0505,0.5119,1.5529,0.4717,0.0414,-0.0525,0.2225,0.4734,-0.2648
"86","CB",0.0949,0.004,0.0495,0.6788,0.0363,1.3364,0.5488,0.015,0.3637,0.3012,0.2609,-0.2333
"87","CHD",0.2469,0.0094,0.119,0.3883,0.2672,-0.0497,0.4679,0.0433,1.0728,0.219,0.2302,-0.0165
"88","CI",-0.1466,0.0228,0.3106,2.0473,2.2804,-0.4188,0.7527,2e-04,-0.2933,0.5666,0.4999,-0.1953
"89","CINF",-0.0089,-0.0037,-0.0434,0.7233,1.0699,0.6799,0.4836,0.0359,-0.0277,0.2339,0.3225,-0.3625
"90","CTAS",0.0887,0.0074,0.092,0.8563,1.1566,1.1739,0.6721,0.0016,0.3859,0.4518,0.23,-0.1922
"91","CSCO",0.0435,0.0089,0.1122,1.1226,0.9113,1.2239,0.858,0,0.2642,0.7361,0.1646,-0.1869
"92","C",-0.5181,-0.0047,-0.0549,3.1257,2.4444,6.98,0.7476,2e-04,-0.6147,0.5589,0.8428,-0.2468
"93","CTXS",0.1691,0.02,0.2682,0.988,-0.1745,2.1279,0.6096,0.0056,0.5459,0.3716,0.3097,-0.0853
"94","CME",-0.101,0.0057,0.0708,1.2864,0.582,2.3629,0.5022,0.0284,-0.1876,0.2522,0.5382,-0.2754
"95","CMS",0.0779,-9e-04,-0.011,0.5473,0.3236,-0.0851,0.4691,0.0427,0.2874,0.2201,0.2712,-0.3204
"96","KO",0.1315,0.0033,0.0398,0.5481,0.8394,0.7193,0.5711,0.0107,0.6009,0.3261,0.2189,-0.2221
"97","CTSH",0.1646,0.0233,0.319,1.135,0.7518,1.4536,0.6893,0.0011,0.5688,0.4751,0.2894,-0.0782
"98","CL",0.2078,0.0099,0.1254,0.5308,1.0127,-0.7048,0.5404,0.0169,0.9071,0.292,0.229,-0.0858
"99","CMCSA",0.0479,0.0048,0.0594,0.8668,1.1548,0.5136,0.5971,0.0069,0.1695,0.3566,0.2824,-0.237
"100","CMA",-0.0874,5e-04,0.0063,1.167,0.9467,2.3017,0.5894,0.0079,-0.2255,0.3474,0.3875,-0.2919
"101","CAG",0.1454,0.0147,0.1914,0.9148,1.2258,0.5123,0.6735,0.0016,0.5987,0.4537,0.2428,-0.118
"102","COP",-0.06,0.0014,0.0168,1.1885,1.4322,0.8506,0.7372,3e-04,-0.2252,0.5435,0.2664,-0.2636
"103","ED",0.1508,-0.0029,-0.034,0.2112,0.0065,-0.1404,0.2609,0.2806,0.5634,0.0681,0.2676,-0.4854
"104","STZ",-0.0791,-0.0017,-0.0207,0.9999,1.7827,-2.1966,0.525,0.021,-0.2024,0.2757,0.3906,-0.3324
"105","GLW",0.0335,0.0202,0.2719,1.4432,1.183,1.2959,0.7386,3e-04,0.1,0.5455,0.335,-0.1523
"106","COST",0.0533,9e-04,0.0104,0.7708,0.6337,0.7284,0.7344,3e-04,0.2953,0.5393,0.1803,-0.2595
"107","CCI",-0.0497,0.0182,0.242,1.6402,1.3202,1.0318,0.7336,4e-04,-0.1251,0.5382,0.3973,-0.1847
"108","CSX",0.1673,0.026,0.3603,1.2323,1.9506,1.2802,0.7286,4e-04,0.5874,0.5309,0.2847,-0.0698
"109","CMI",6e-04,0.0465,0.7244,2.3636,2.3223,2.5022,0.8447,0,0.0013,0.7135,0.4882,-0.1069
"110","CVS",0.1324,0.0059,0.0725,0.6704,0.4887,0.768,0.7075,7e-04,0.7359,0.5006,0.1799,-0.1804
"111","DHI",0.1227,0.0298,0.4232,0.8465,1.5697,2.3498,0.2722,0.2596,0.1699,0.0741,0.7222,-0.1543
"112","DHR",0.0735,0.0048,0.0595,0.8614,1.0446,0.6094,0.8437,0,0.5399,0.7119,0.1362,-0.2087
"113","DRI",0.1813,0.0313,0.4476,1.0814,0.5554,0.6309,0.4175,0.0753,0.3194,0.1743,0.5676,-0.0666
"114","DVA",0.1213,-0.0056,-0.0655,0.2054,-0.2119,-0.2932,0.2429,0.3163,0.4407,0.059,0.2752,-0.6426
"115","DE",-0.1063,0.0106,0.1343,1.7504,1.5982,2.5104,0.8967,0,-0.3855,0.804,0.2759,-0.2055
"116","DAL",-0.2835,-0.0312,-0.3166,0.1476,-1.8803,0.6955,0.0429,0.8617,-0.3318,0.0018,0.8542,-3.6358
"117","XRAY",0.0787,0.0127,0.1633,1.1255,1.4439,0.7131,0.8477,0,0.4564,0.7185,0.1724,-0.1551
"118","DVN",0.0348,0.0125,0.1603,1.0996,1.0901,1.959,0.5669,0.0114,0.0903,0.3214,0.3859,-0.1987
"119","DLR",0.2398,0.0307,0.4378,1.1778,1.4834,-0.009,0.7373,3e-04,0.9097,0.5437,0.2636,-0.0115
"120","DFS",0.0306,0.0292,0.4123,1.7345,1.4656,2.2688,0.7527,2e-04,0.0754,0.5666,0.4062,-0.1284
"121","DISH",-0.1666,2e-04,0.0021,1.4988,1.2447,1.1052,0.67,0.0017,-0.3987,0.4489,0.4179,-0.2802
"122","DLTR",0.5189,0.0314,0.4496,0.3535,0.112,0.2526,0.2667,0.2697,1.5038,0.0711,0.3451,0.7514
"123","D",0.0964,5e-04,0.0058,0.5749,0.6332,-0.2377,0.6066,0.0059,0.4622,0.3679,0.2085,-0.273
"124","DOV",0.0967,0.0236,0.3234,1.4503,1.5242,0.583,0.8888,0,0.4596,0.79,0.2103,-0.108
"125","DTE",0.0688,0.0025,0.0304,0.7454,0.4776,0.1361,0.6538,0.0024,0.3175,0.4274,0.2168,-0.2475
"126","DUK",0.121,-0.002,-0.0242,0.4051,0.4876,0.1269,0.6406,0.0031,0.6539,0.4104,0.1851,-0.3265
"127","DRE",-0.2085,0.0315,0.4501,2.4215,2.5755,2.5244,0.6476,0.0027,-0.2717,0.4194,0.7674,-0.1907
"128","DXC",0.1495,0.021,0.2826,1.089,0.9948,-0.8734,0.6531,0.0024,0.4899,0.4265,0.3051,-0.0954
"129","EMN",0.0199,0.0401,0.6026,2.1909,1.2982,4.9729,0.8331,0,0.0439,0.6941,0.453,-0.1065
"130","ETN",-0.0648,0.0053,0.0659,1.3605,1.2403,0.5277,0.7813,1e-04,-0.2349,0.6104,0.276,-0.2338
"131","EBAY",-0.0796,0.0147,0.192,1.774,1.8287,2.8347,0.8835,0,-0.271,0.7806,0.2936,-0.1876
"132","ECL",0.1265,0.0082,0.103,0.7506,0.9832,1.3061,0.6605,0.0021,0.5903,0.4362,0.2143,-0.169
"133","EIX",-0.0211,-0.01,-0.1131,0.6574,0.5531,0.2275,0.6867,0.0012,-0.1128,0.4715,0.187,-0.4174
"134","EW",0.4745,0.0316,0.4523,0.5596,0.2009,0.4393,0.5015,0.0287,1.8555,0.2515,0.2557,0.3953
