"","symbol","ActivePremium","Alpha","AnnualizedAlpha","Beta","Beta-","Beta+","Correlation","Correlationp-value","InformationRatio","R-squared","TrackingError","TreynorRatio"
"271","NI",0.0478,0.002,0.0245,0.8394,0.6585,1.5895,0.7532,2e-04,0.2642,0.5673,0.1809,-0.2448
"272","JWN",-0.0174,0.0283,0.3971,1.7525,1.4456,2.4053,0.6866,0.0012,-0.0361,0.4714,0.4826,-0.1545
"273","NSC",0.103,0.0138,0.1783,1.0223,1.3281,0.4713,0.6979,9e-04,0.4074,0.4871,0.2529,-0.147
"274","NTRS",0.0471,0.0037,0.0454,0.8037,1.1463,-0.4265,0.5353,0.0182,0.1523,0.2866,0.3093,-0.2566
"275","NOC",-0.0212,0.0037,0.0451,1.1416,1.3615,0.9876,0.7705,1e-04,-0.0922,0.5937,0.2301,-0.2405
"276","NRG",-0.0294,-7e-04,-0.0082,0.8346,0.5151,-0.0056,0.4518,0.0521,-0.0736,0.2041,0.3992,-0.3387
"277","NUE",0.1422,0.0201,0.2695,0.9623,0.381,0.4069,0.4906,0.033,0.345,0.2407,0.4121,-0.1155
"278","NVDA",-0.2207,-0.008,-0.0924,1.3457,-0.047,0.208,0.556,0.0134,-0.4487,0.3091,0.492,-0.3523
"279","ORLY",0.3501,0.0209,0.2816,0.3993,0.223,-0.161,0.2819,0.2422,0.9778,0.0795,0.3581,0.2425
"280","OXY",0.2334,0.0275,0.385,1.0829,1.1116,0.131,0.6884,0.0011,0.8464,0.4739,0.2757,-0.0184
"281","OMC",0.038,0.01,0.1267,1.1458,1.0558,1.9415,0.7381,3e-04,0.1493,0.5448,0.2549,-0.1879
"282","OKE",0.028,0.004,0.0488,0.9304,0.5129,1.3837,0.6585,0.0022,0.1092,0.4336,0.2568,-0.2421
"283","ORCL",0.2939,0.0294,0.4165,1.0362,1.0436,0.2721,0.8159,0,1.6587,0.6657,0.1772,0.0392
"284","PCAR",0.0479,0.0211,0.2845,1.4268,1.6168,1.2728,0.7034,8e-04,0.1322,0.4948,0.3624,-0.1439
"285","PKG",-0.0218,0.0203,0.2728,1.6703,2.0226,2.366,0.7854,1e-04,-0.0612,0.6169,0.356,-0.1647
"286","PH",-0.0521,0.0111,0.1421,1.4948,1.3004,1.6417,0.7654,1e-04,-0.1599,0.5859,0.3255,-0.2043
"287","PDCO",0.0526,0.004,0.0491,0.8269,1.532,0.4354,0.6123,0.0053,0.202,0.3749,0.2607,-0.2427
"288","PAYX",0.0423,8e-04,0.0095,0.8067,0.893,1.8763,0.7172,5e-04,0.2174,0.5143,0.1946,-0.2615
"289","PNR",0.1204,0.0162,0.2131,1.0953,1.1303,1.5183,0.7899,1e-04,0.584,0.624,0.2062,-0.1213
"290","PEP",0.0879,1e-04,0.0014,0.5861,1.1333,0.0236,0.5948,0.0072,0.4079,0.3538,0.2154,-0.2823
"291","PKI",0.015,0.0043,0.0533,0.955,1.2025,1.5847,0.6167,0.0049,0.051,0.3803,0.294,-0.2495
"292","PRGO",0.201,0.0278,0.3901,1.1042,2.0006,2.0334,0.597,0.007,0.5606,0.3564,0.3585,-0.0474
"293","PFE",0.0613,5e-04,0.0061,0.6919,0.533,0.2666,0.5972,0.0069,0.2596,0.3566,0.236,-0.2776
"294","PCG",0.1772,-0.0015,-0.0179,0.1839,-0.2062,-0.5547,0.268,0.2673,0.7,0.0718,0.2531,-0.4139
"295","PM",0.1857,0.0157,0.2059,0.8696,0.9751,0.2775,0.8026,2e-04,1.0802,0.6442,0.1719,-0.0594
"296","PNW",0.1036,0.0024,0.029,0.5956,0.7409,-0.2999,0.5455,0.0157,0.4297,0.2975,0.2411,-0.2513
"297","PXD",-0.0361,0.0432,0.6613,2.2058,2.1351,3.6332,0.7225,5e-04,-0.0615,0.5221,0.5858,-0.1312
"298","PNC",-0.0408,0.0147,0.1919,1.4314,1.4328,3.7774,0.6161,0.005,-0.09,0.3796,0.4531,-0.2054
"299","RL",0.1169,0.0369,0.5442,1.7846,1.23,1.3875,0.8336,0,0.3417,0.6948,0.3421,-0.0764
"300","PPG",0.039,0.012,0.1536,1.2675,1.1866,2.106,0.9064,0,0.2495,0.8215,0.1563,-0.1691
"301","PPL",0.045,-0.0039,-0.0455,0.5978,0.4781,0.8019,0.5888,0.008,0.2042,0.3467,0.2203,-0.3484
"302","PFG",-0.2726,0.0825,1.5894,3.9562,3.728,4.6349,0.7609,2e-04,-0.2522,0.579,1.081,-0.1329
"303","PG",0.0791,-0.0028,-0.0327,0.5166,0.9209,0.2546,0.5812,0.0091,0.3775,0.3378,0.2097,-0.3371
"304","PGR",0.1503,0.0193,0.2579,1.0743,0.9987,2.0273,0.731,4e-04,0.6203,0.5344,0.2423,-0.0959
"305","PLD",-0.2538,0.0189,0.2525,2.461,2.7353,1.8821,0.8138,0,-0.4608,0.6622,0.5508,-0.2061
"306","PRU",-0.1691,0.0615,1.047,3.2044,3.6171,3.1085,0.8437,0,-0.2337,0.7119,0.7236,-0.1318
"307","PEG",0.0625,-1e-04,-0.0012,0.6281,0.381,0.8263,0.4997,0.0294,0.2253,0.2497,0.2773,-0.3038
"308","PSA",0.1879,0.0211,0.2853,0.9527,1.2681,0.6926,0.591,0.0077,0.5991,0.3493,0.3136,-0.0686
"309","PHM",0.1931,0.024,0.3299,0.6268,2.0243,0.3035,0.2277,0.3485,0.2961,0.0519,0.6522,-0.096
"310","PVH",0.0269,0.0394,0.5894,2.0501,1.4286,2.7924,0.7862,1e-04,0.0581,0.6181,0.4636,-0.1104
"311","QCOM",0.366,0.0353,0.5163,0.9773,1.242,0.7316,0.6444,0.0029,1.3094,0.4153,0.2795,0.1154
"312","PWR",0.1547,0.0329,0.4754,1.452,1.2269,-0.0289,0.7012,8e-04,0.4157,0.4916,0.3721,-0.0679
"313","DGX",0.2779,0.0191,0.2545,0.6941,0.5616,0.0672,0.7338,3e-04,1.6198,0.5384,0.1715,0.0354
"314","RRC",0.2829,0.0157,0.2061,0.2843,0.5432,1.9838,0.1615,0.509,0.6247,0.0261,0.4529,0.1043
"315","RJF",-0.0668,0.0118,0.1508,1.3075,1.5469,1.3,0.5078,0.0264,-0.1237,0.2579,0.5396,-0.2448
"316","O",0.1622,0.0173,0.2288,0.9564,1.0604,1.1116,0.6748,0.0015,0.6428,0.4554,0.2523,-0.0953
"317","REG",-0.0429,0.0278,0.3893,1.869,2.3323,1.4692,0.7175,5e-04,-0.0886,0.5148,0.4849,-0.1585
"318","REGN",0.1141,0.0242,0.333,1.076,2.238,-1.4573,0.4273,0.0681,0.2077,0.1826,0.5491,-0.1294
"319","RF",-0.4141,-0.0508,-0.4654,0.6877,-0.6875,3.3019,0.254,0.2941,-0.6514,0.0645,0.6357,-0.9704
"320","RSG",0.105,0.0152,0.198,1.0368,1.3614,0.3441,0.6552,0.0023,0.3644,0.4293,0.2882,-0.143
"321","RMD",0.1925,0.0168,0.2213,0.7537,1.4151,-0.7108,0.4779,0.0385,0.5676,0.2284,0.3391,-0.0807
"322","RHI",0.2284,0.0308,0.4398,1.167,1.4234,2.2194,0.6299,0.0038,0.6544,0.3968,0.3491,-0.0213
"323","ROK",-0.0916,0.0204,0.2735,1.9017,2.0433,2.263,0.7688,1e-04,-0.2088,0.591,0.4388,-0.1814
"324","ROP",0.0717,-0.0021,-0.025,0.5612,0.8008,0.4942,0.5808,0.0091,0.3301,0.3373,0.2171,-0.3237
"325","ROST",0.5477,0.0459,0.7143,0.9123,0.8315,0.6636,0.6562,0.0023,2.1587,0.4306,0.2537,0.3227
"326","RCL",-0.2465,0.057,0.9445,3.2964,2.5211,5.6253,0.746,2e-04,-0.274,0.5565,0.8996,-0.1516
"327","SPGI",0.0374,0.0162,0.2131,1.3585,0.7025,2.8849,0.7775,1e-04,0.1344,0.6045,0.2786,-0.1589
"328","CRM",0.0498,0.0289,0.4083,1.6186,1.9067,2.2994,0.707,7e-04,0.1193,0.4999,0.4177,-0.1257
"329","SBAC",0.0363,0.0076,0.0945,0.892,0.7296,0.9337,0.4805,0.0373,0.0924,0.2309,0.3932,-0.2432
"330","SLB",-0.0245,0.0136,0.1756,1.382,1.7487,2.9077,0.6772,0.0014,-0.0655,0.4585,0.3735,-0.201
"331","SNI",8e-04,0.0083,0.104,1.1441,1.7048,2.9411,0.7473,0.0033,0.0029,0.5585,0.2877,-0.2759
"332","STX",-0.1677,0.0291,0.4107,2.2857,1.5044,2.9876,0.7302,4e-04,-0.2789,0.5332,0.6014,-0.1842
"333","SEE",0.1391,0.0383,0.5695,1.7325,1.9026,3.8949,0.78,1e-04,0.3673,0.6084,0.3787,-0.0659
"334","SRE",0.1608,0.0083,0.1039,0.6241,0.7094,0.3415,0.5683,0.0111,0.6818,0.323,0.2358,-0.1482
"335","SHW",0.1898,0.014,0.1815,0.6926,0.4086,0.6833,0.5067,0.0268,0.6466,0.2567,0.2935,-0.0917
"336","SIG",0.1527,0.0834,1.6136,2.8795,2.645,4.3299,0.8494,0,0.2441,0.7214,0.6254,-0.0349
"337","SPG",-0.0455,0.0274,0.3833,1.9498,1.8745,2.9516,0.7717,1e-04,-0.1011,0.5954,0.4499,-0.1532
"338","SWKS",0.344,0.0411,0.6214,0.9294,-0.2576,1.1408,0.3645,0.125,0.6007,0.1328,0.5726,0.0975
"339","SLG",-0.3334,0.0348,0.508,3.0944,2.2358,2.4381,0.7731,1e-04,-0.4203,0.5977,0.7932,-0.1896
"340","SNA",0.0042,0.0247,0.3401,1.7306,2.1715,2.1789,0.8079,0,0.0121,0.6528,0.3515,-0.1439
"341","SO",0.1934,0.0043,0.0525,0.3653,0.6515,-0.823,0.4515,0.0523,0.8347,0.2039,0.2317,-0.164
"342","LUV",-0.1118,-0.0076,-0.0875,1.068,1.5175,1.1798,0.6607,0.0021,-0.3816,0.4365,0.2929,-0.3418
"343","SWK",0.0591,0.0149,0.1938,1.2477,1.135,1.8561,0.7793,1e-04,0.2372,0.6073,0.2491,-0.1557
"344","SBUX",0.009,0.0129,0.1659,1.2622,0.2289,2.0117,0.6576,0.0022,0.0255,0.4324,0.3542,-0.1935
"345","STT",0.0036,0.0226,0.3081,1.4928,1.6821,2.4909,0.6294,0.0039,0.0079,0.3961,0.4598,-0.1673
"346","SRCL",0.1752,0.0012,0.0148,0.2785,0.3532,-0.0656,0.3004,0.2115,0.6368,0.0902,0.2751,-0.2805
"347","SYK",-0.0526,-0.0046,-0.0541,0.9394,1.1121,0.461,0.6719,0.0016,-0.2104,0.4515,0.25,-0.3256
"348","SNPS",0.1369,0.0069,0.0864,0.6081,0.7405,0.0589,0.4594,0.0479,0.4582,0.211,0.2987,-0.1915
"349","SYY",0.0789,0.0021,0.0251,0.7282,0.8244,0.4215,0.7628,1e-04,0.4852,0.5819,0.1625,-0.2395
"350","TROW",0.0703,0.0388,0.5787,2.0391,1.7816,3.4909,0.9119,0,0.2103,0.8315,0.3342,-0.0898
"351","TPR",0.0751,0.0422,0.6413,2.0193,0.6047,2.9852,0.7814,1e-04,0.1633,0.6106,0.4598,-0.0883
"352","TGT",0.0382,0.0135,0.1751,1.2417,0.5853,1.6127,0.7239,5e-04,0.1312,0.5241,0.2911,-0.1732
"353","TEL",-0.0873,0.0337,0.4879,2.3678,1.9747,4.2067,0.8449,0,-0.1785,0.7139,0.4891,-0.1438
"354","FTI",0.0564,0.0186,0.2471,1.142,0.8868,2.8068,0.5024,0.0284,0.1187,0.2524,0.4749,-0.1724
"355","TXN",0.0482,0.0081,0.1023,1.0359,0.3815,0.8039,0.7374,3e-04,0.2106,0.5438,0.2288,-0.198
"356","TXT",-0.4494,0.0019,0.0236,3.1187,2.7722,6.461,0.7935,1e-04,-0.5836,0.6296,0.7701,-0.2253
"357","BK",0.0129,-0.0029,-0.0343,0.7181,0.1398,0.9924,0.5171,0.0234,0.0439,0.2674,0.2944,-0.3347
"358","CLX",0.2002,0.0054,0.0673,0.3717,0.2216,0.1805,0.4045,0.0858,0.7916,0.1637,0.2529,-0.1429
"359","COO",-0.0309,0.0182,0.2415,1.2648,1.2356,-0.0129,0.5024,0.0284,-0.0585,0.2524,0.5285,-0.2247
"360","HSY",0.2283,0.0073,0.0913,0.3296,0.6934,0.2654,0.3357,0.16,0.8293,0.1127,0.2753,-0.0758
"361","MOS",0.007,0.0248,0.3412,1.1278,2.1753,0.8262,0.365,0.1244,0.01,0.1332,0.694,-0.2184
"362","TRV",0.1248,0.0042,0.0512,0.6167,0.5937,0.6201,0.6375,0.0033,0.6178,0.4064,0.202,-0.2084
"363","DIS",0.0764,0.0153,0.1993,1.2344,1.0737,1.5437,0.8746,0,0.438,0.7649,0.1743,-0.1433
"364","TMO",0.0728,0.0032,0.0395,0.7189,1.4801,-0.174,0.5623,0.0122,0.2763,0.3162,0.2636,-0.251
"365","TWX",0.0528,0.0207,0.2785,1.4925,1.1198,0.2877,0.8843,0,0.2358,0.7819,0.224,-0.1343
"366","TJX",0.3283,0.0243,0.3333,0.6467,0.7667,1.2945,0.4816,0.0368,1.1085,0.2319,0.2962,0.116
"367","TSCO",0.2604,0.0187,0.2494,0.5739,0.8701,1.0748,0.3523,0.1391,0.6825,0.1241,0.3816,0.0124
"368","TDG",0.0871,1e-04,0.0012,0.4662,0.4486,0.1675,0.3176,0.1851,0.2424,0.1009,0.3592,-0.3566
"369","TSN",0.1874,0.0429,0.6562,1.7106,1.9097,0.7356,0.769,1e-04,0.4892,0.5913,0.3832,-0.0385
"370","USB",-0.0257,0.0068,0.0845,1.0852,1.22,2.0749,0.5548,0.0137,-0.0653,0.3078,0.3928,-0.2571
"371","UDR",-0.0596,0.0105,0.1336,1.3979,2.0129,2.3874,0.6641,0.0019,-0.1524,0.441,0.3913,-0.2238
"372","ULTA",-0.1724,0.0131,0.1694,1.7369,0.3092,0.837,0.5938,0.0074,-0.29,0.3526,0.5944,-0.2451
"373","UAA",-0.1356,0.013,0.1672,1.8506,1.4609,2.7796,0.7609,2e-04,-0.3138,0.579,0.4321,-0.2101
"374","UNP",0.1608,0.0247,0.3399,1.2277,1.0287,1.2436,0.7623,1e-04,0.6253,0.5812,0.2571,-0.0754
"375","UAL",-0.5233,-0.0799,-0.6316,-0.3495,-0.9945,1.1257,-0.0767,0.755,-0.4581,0.0059,1.1423,2.2218
"376","UNH",-0.1336,-0.0019,-0.022,1.2338,0.6699,0.0548,0.5725,0.0104,-0.311,0.3278,0.4296,-0.3136
"377","UPS",0.0688,0.0047,0.0582,0.7989,0.9761,1.5415,0.5989,0.0067,0.2627,0.3587,0.262,-0.2309
"378","URI",-0.2997,-0.0015,-0.0184,1.8899,1.2919,0.4938,0.6088,0.0057,-0.4748,0.3706,0.6311,-0.2926
"379","UHS",0.2422,0.0337,0.4887,1.2895,1.2676,2.5323,0.7461,2e-04,0.8469,0.5567,0.286,-0.0086
"380","UNM",0.0262,0.041,0.6189,2.1456,2.5025,2.2608,0.845,0,0.0612,0.7139,0.4282,-0.1058
"381","VFC",0.1204,0.0088,0.1108,0.7519,1.2377,0.154,0.5774,0.0096,0.4576,0.3334,0.2631,-0.1767
"382","VLO",-0.3173,-0.0321,-0.3239,1.1611,1.1633,0.4319,0.5566,0.0133,-0.7566,0.3098,0.4194,-0.4915
"383","VTR",0.0886,0.041,0.6188,1.7929,2.0675,0.445,0.6593,0.0021,0.1676,0.4346,0.5286,-0.0919
"384","VRSN",-0.1236,-0.0186,-0.2018,0.6874,0.424,1.5265,0.4697,0.0424,-0.3859,0.2206,0.3204,-0.5483
"385","VZ",0.1155,0.001,0.0116,0.5226,0.3878,-0.0645,0.5736,0.0102,0.5408,0.3291,0.2135,-0.2637
"386","VRTX",0.5123,0.0406,0.6114,0.4156,1.1438,-1.0888,0.1769,0.4687,0.8913,0.0313,0.5748,0.6231
"387","V",0.3278,0.0304,0.4317,0.81,0.3904,1.296,0.4733,0.0641,0.8275,0.224,0.3962,0.1118
"388","VNO",-0.0644,0.0231,0.315,1.8858,1.95,2.3086,0.7689,1e-04,-0.1484,0.5912,0.4341,-0.1685
"389","VMC",-0.0828,0.0034,0.0415,1.2452,1.3616,-0.7118,0.6231,0.0044,-0.217,0.3882,0.3813,-0.2699
"390","WMT",0.2862,0.0107,0.1364,0.2941,0.5521,0.2102,0.3543,0.1367,1.1316,0.1255,0.2529,0.1118
"391","WBA",0.1481,0.0154,0.202,0.9244,1.4355,1.2714,0.6529,0.0024,0.5716,0.4263,0.2591,-0.1138
"392","WM",0.1732,0.0056,0.0697,0.4867,0.2614,-0.615,0.5205,0.0223,0.7569,0.2709,0.2288,-0.1646
"393","WAT",0.0171,0.0093,0.1175,1.103,1.12,1.2261,0.6267,0.0041,0.0516,0.3928,0.3315,-0.2141
"394","WEC",0.1845,0.0018,0.0217,0.3084,0.3195,-0.1657,0.4628,0.046,0.8417,0.2142,0.2192,-0.223
"395","WFC",0.135,0.0474,0.7435,1.7439,1.4712,4.0537,0.5963,0.007,0.2274,0.3556,0.5935,-0.0679
"396","WDC",0.2264,0.0502,0.8005,1.64,0.9148,2.7882,0.5897,0.0079,0.4022,0.3478,0.5628,-0.0164
"397","WU",0.0684,0.0331,0.4786,1.8,2.3061,2.6312,0.855,0,0.2097,0.7311,0.3262,-0.1027
"398","WY",-0.1435,-0.0016,-0.0185,1.3669,1.9717,3.3589,0.6782,0.0014,-0.3903,0.46,0.3677,-0.2903
"399","WHR",-0.0448,0.0453,0.701,2.4104,3.1084,4.0653,0.7767,1e-04,-0.0771,0.6032,0.581,-0.1237
"400","WMB",-0.1325,-0.0045,-0.0525,1.2029,0.6012,2.3445,0.6069,0.0059,-0.3461,0.3683,0.3828,-0.3207
"401","WYNN",-0.2733,0.0257,0.3556,2.6436,2.2585,5.6313,0.6594,0.0021,-0.3303,0.4348,0.8274,-0.1992
"402","XEL",0.1721,0.0029,0.0356,0.391,0.5585,-0.2679,0.4913,0.0327,0.7737,0.2413,0.2224,-0.2077
"403","XRX",-0.1769,-0.0036,-0.0424,1.4991,1.8372,1.1799,0.7315,4e-04,-0.4947,0.5351,0.3576,-0.287
"404","YUM",0.2109,0.0241,0.3302,1.0862,1.1362,1.3387,0.794,0,1.0467,0.6305,0.2015,-0.039
"405","ZBH",0.0251,0.009,0.1141,1.1032,1.622,1.1726,0.6736,0.0016,0.0856,0.4537,0.2928,-0.2069
"406","ZION",-0.3455,-0.0354,-0.3512,0.7987,0.0907,2.9656,0.2715,0.2608,-0.5051,0.0737,0.6841,-0.7497
