"","symbol","Alpha","performance","LMT_std","mean","period","interest_mean_2020","unemp_mean","sector"
"1","MMM",-0.0115,0,"7.76","-0.74","2020",0.5,8.6,"Industrials"
"2","AOS",0.0146,1,"8.37","1.8","2020",0.5,8.6,"Industrials"
"3","ABT",0.0216,1,"8.67","2.6","2020",0.5,8.6,"Health Care"
"4","ABBV",0.001,0,"8.68","0.45","2020",0.5,8.6,"Health Care"
"5","ACN",0.0062,0,"9.06","1.22","2020",0.5,8.6,"Technology"
"6","ATVI",0.036,1,"5.29","3.82","2020",0.5,8.6,"Consumer Discretionary"
"7","AYI",-0.0352,0,"10.63","-2.97","2020",0.5,8.6,"Consumer Discretionary"
"8","ADBE",0.0414,1,"8.18","4.61","2020",0.5,8.6,"Technology"
"9","AAP",-8e-04,0,"17.1","0.88","2020",0.5,8.6,"Consumer Discretionary"
"10","AMD",0.0629,1,"17.53","6.96","2020",0.5,8.6,"Technology"
"11","AES",-0.0074,0,"12.26","-0.21","2020",0.5,8.6,"Utilities"
"12","AMG",-0.0224,0,"11.43","-1.68","2020",0.5,8.6,"Finance"
"13","AFL",-0.0422,0,"9.06","-3.65","2020",0.5,8.6,"Finance"
"14","A",0.0161,1,"7.44","2.01","2020",0.5,8.6,"Industrials"
"15","APD",0.0268,1,"8.88","3.18","2020",0.5,8.6,"Industrials"
"16","AKAM",0.0263,1,"5.39","2.81","2020",0.5,8.6,"Consumer Discretionary"
"17","ALK",-0.0587,0,"18.3","-4.74","2020",0.5,8.6,"Consumer Discretionary"
"18","ALB",0.0255,1,"15.08","3.3","2020",0.5,8.6,"Industrials"
"19","ARE",0.001,0,"8.1","0.52","2020",0.5,8.6,"Real Estate"
"20","ALGN",0.0147,1,"14.53","2.3","2020",0.5,8.6,"Health Care"
"21","ALLE",-0.0264,0,"8.76","-2.1","2020",0.5,8.6,"Consumer Discretionary"
"22","LNT",-0.0033,0,"8.35","0","2020",0.5,8.6,"Utilities"
"23","ALL",-0.0204,0,"7.25","-1.66","2020",0.5,8.6,"Finance"
"24","GOOGL",0.0055,0,"9.61","1.18","2020",0.5,8.6,"Technology"
"25","GOOG",0.0059,0,"9.68","1.22","2020",0.5,8.6,"Technology"
"26","MO",-0.0208,0,"7.05","-1.76","2020",0.5,8.6,"Consumer Discretionary"
"27","AMZN",0.0573,1,"11.17","6.29","2020",0.5,8.6,"Consumer Discretionary"
"28","AEE",0.0064,0,"6.68","0.83","2020",0.5,8.6,"Utilities"
"29","AAL",-0.0814,0,"19.44","-7.31","2020",0.5,8.6,"Consumer Discretionary"
"30","AEP",-0.0124,0,"9.05","-0.95","2020",0.5,8.6,"Utilities"
"31","AXP",-0.0277,0,"10.36","-2.14","2020",0.5,8.6,"Finance"
"32","AIG",-0.0581,0,"16.94","-4.94","2020",0.5,8.6,"Finance"
"33","AMT",0.0059,0,"5.21","0.82","2020",0.5,8.6,"Finance"
"34","AWK",0.0219,1,"7.66","2.39","2020",0.5,8.6,"Utilities"
"35","AMP",-0.0091,0,"14.63","-0.07","2020",0.5,8.6,"Finance"
"36","ABC",0.016,1,"3.42","1.57","2020",0.5,8.6,"Health Care"
"37","AME",-0.0023,0,"10.29","0.44","2020",0.5,8.6,"Consumer Discretionary"
"38","AMGN",0.0053,0,"8.07","0.88","2020",0.5,8.6,"Health Care"
"39","APH",-7e-04,0,"12.27","0.71","2020",0.5,8.6,"Technology"
"40","ADI",-0.0018,0,"11.3","0.38","2020",0.5,8.6,"Technology"
"41","ANSS",0.0213,1,"8.04","2.62","2020",0.5,8.6,"Technology"
"42","ANTM",-0.0156,0,"11.39","-0.96","2020",0.5,8.6,NA
"43","AON",-0.0012,0,"9.84","0.33","2020",0.5,8.6,"Finance"
"44","APA",0.0831,1,"82.02","12.54","2020",0.5,8.6,"Energy"
"45","AIV",-0.0422,0,"10.2","-3.66","2020",0.5,8.6,"Real Estate"
"46","AAPL",0.0479,1,"12.84","5.55","2020",0.5,8.6,"Technology"
"47","AMAT",-0.0034,0,"10.44","0.17","2020",0.5,8.6,"Technology"
"48","APTV",0.003,0,"20.89","1.52","2020",0.5,8.6,"Consumer Discretionary"
"49","ADM",0.0012,0,"7.52","0.52","2020",0.5,8.6,"Consumer Staples"
"50","ARNC",0.0969,1,"28.23","21.67","2020",0.5,8.6,"Consumer Discretionary"
"51","AJG",0.013,1,"10.33","1.65","2020",0.5,8.6,"Finance"
"52","AIZ",-0.01,0,"7.54","-0.6","2020",0.5,8.6,"Finance"
"53","T",-0.0299,0,"6.72","-2.56","2020",0.5,8.6,"Consumer Discretionary"
"54","ADSK",0.0235,1,"11.53","3.01","2020",0.5,8.6,"Technology"
"55","ADP",-0.0225,0,"6.9","-1.93","2020",0.5,8.6,"Consumer Discretionary"
"56","AZO",-0.0039,0,"11.73","0.28","2020",0.5,8.6,"Consumer Discretionary"
"57","AVB",-0.0344,0,"10.31","-2.84","2020",0.5,8.6,"Real Estate"
"58","AVY",-0.0034,0,"7.39","0.01","2020",0.5,8.6,"Miscellaneous"
"59","BAC",-0.0433,0,"11.23","-3.58","2020",0.5,8.6,"Finance"
"60","BAX",-0.0096,0,"5.57","-0.68","2020",0.5,8.6,"Health Care"
"61","BDX",-0.0185,0,"10.17","-1.52","2020",0.5,8.6,"Health Care"
"62","BBY",0.0298,1,"16.72","4.06","2020",0.5,8.6,"Consumer Discretionary"
"63","BIIB",4e-04,0,"8.26","-0.15","2020",0.5,8.6,"Health Care"
"64","BLK",0.0099,1,"7.76","1.46","2020",0.5,8.6,"Finance"
"65","HRB",-0.0313,0,"14.81","-2.43","2020",0.5,8.6,"Consumer Discretionary"
"66","BA",-0.0627,0,"19.38","-5.5","2020",0.5,8.6,"Industrials"
"67","BWA",-0.0122,0,"15.03","-0.37","2020",0.5,8.6,"Consumer Discretionary"
"68","BXP",-0.0521,0,"10.93","-4.7","2020",0.5,8.6,"Real Estate"
"69","BSX",-0.022,0,"9.96","-1.57","2020",0.5,8.6,"Health Care"
"70","BHF",-0.0407,0,"13.99","-3.26","2020",0.5,8.6,"Finance"
"71","BMY",-0.0065,0,"5.31","-0.32","2020",0.5,8.6,"Health Care"
"72","AVGO",0.0163,1,"9.45","2.17","2020",0.5,8.6,"Technology"
"73","CHRW",0.0343,1,"8.81","3.78","2020",0.5,8.6,"Consumer Discretionary"
"74","CDNS",0.0431,1,"9.86","4.86","2020",0.5,8.6,"Technology"
"75","CPB",3e-04,0,"5.68","0.28","2020",0.5,8.6,"Consumer Staples"
"76","COF",-0.0329,0,"19.11","-2.14","2020",0.5,8.6,"Finance"
"77","CAH",-0.0052,0,"6.34","-0.34","2020",0.5,8.6,"Health Care"
"78","KMX",0.0126,1,"21.4","2.64","2020",0.5,8.6,"Consumer Discretionary"
"79","CCL",-0.1027,0,"24.54","-8.81","2020",0.5,8.6,"Consumer Discretionary"
"80","CAT",-3e-04,0,"6.68","0.23","2020",0.5,8.6,"Industrials"
"81","CBOE",-0.0352,0,"10.47","-2.96","2020",0.5,8.6,"Finance"
"82","CNC",-0.009,0,"9.16","-0.75","2020",0.5,8.6,"Health Care"
"83","CNP",-0.0342,0,"13.23","-2.59","2020",0.5,8.6,"Utilities"
"84","CERN",-0.0049,0,"6.23","-0.11","2020",0.5,8.6,NA
"85","CF",-0.0446,0,"11.74","-3.81","2020",0.5,8.6,"Industrials"
"86","SCHW",-0.0327,0,"8.95","-2.74","2020",0.5,8.6,"Finance"
"87","CHTR",0.026,1,"8.98","3.11","2020",0.5,8.6,"Consumer Discretionary"
"88","CVX",-0.0524,0,"14.08","-4.38","2020",0.5,8.6,"Energy"
"89","CMG",0.043,1,"14.96","5.3","2020",0.5,8.6,"Consumer Discretionary"
"90","CB",-0.0316,0,"9.52","-2.74","2020",0.5,8.6,"Finance"
"91","CHD",0.0323,1,"9.83","3.68","2020",0.5,8.6,"Consumer Discretionary"
"92","CI",-0.0252,0,"5.97","-2.27","2020",0.5,8.6,"Health Care"
"93","CINF",-0.0271,0,"12.53","-2.4","2020",0.5,8.6,"Finance"
"94","CTAS",0.0264,1,"17.32","3.74","2020",0.5,8.6,"Consumer Discretionary"
"95","CSCO",-0.0215,0,"8.55","-1.85","2020",0.5,8.6,"Telecommunications"
"96","C",-0.0654,0,"14.58","-5.6","2020",0.5,8.6,"Finance"
"97","CFG",-0.044,0,"17.32","-3.31","2020",0.5,8.6,"Finance"
"98","CTXS",0.0352,1,"14.35","3.19","2020",0.5,8.6,"Technology"
"99","CME",-0.021,0,"7.54","-1.73","2020",0.5,8.6,"Finance"
"100","CMS",0.0022,0,"7.06","0.34","2020",0.5,8.6,"Utilities"
"101","KO",-0.0115,0,"7.61","-0.73","2020",0.5,8.6,"Consumer Staples"
"102","CTSH",0.0155,1,"14.49","2.27","2020",0.5,8.6,"Technology"
"103","CL",0.0133,1,"5.5","1.59","2020",0.5,8.6,"Consumer Discretionary"
"104","CMCSA",0.002,0,"7.97","0.68","2020",0.5,8.6,"Consumer Discretionary"
"105","CMA",-0.0566,0,"17.77","-4.59","2020",0.5,8.6,"Finance"
"106","CAG",0.0091,1,"9.91","1.26","2020",0.5,8.6,"Consumer Staples"
"107","COP",-0.0668,0,"19.75","-5.46","2020",0.5,8.6,"Energy"
"108","ED",-0.011,0,"7.45","-1.01","2020",0.5,8.6,"Utilities"
"109","STZ",-0.0011,0,"8.81","0.45","2020",0.5,8.6,"Consumer Staples"
"110","GLW",0.0099,1,"11.54","1.58","2020",0.5,8.6,"Technology"
"111","COST",0.0209,1,"4.9","2.3","2020",0.5,8.6,"Consumer Discretionary"
"112","COTY",-0.1309,0,"20.48","-12.38","2020",0.5,8.6,"Consumer Discretionary"
"113","CCI",0.0187,1,"5.2","2.02","2020",0.5,8.6,"Real Estate"
"114","CSX",0.0061,0,"9.96","1.23","2020",0.5,8.6,"Industrials"
"115","CMI",0.0203,1,"10.31","2.63","2020",0.5,8.6,"Industrials"
"116","CVS",-0.026,0,"6.14","-2.36","2020",0.5,8.6,"Health Care"
"117","DHI",0.0476,1,"20.93","6.06","2020",0.5,8.6,"Consumer Discretionary"
"118","DHR",0.0336,1,"8.74","3.84","2020",0.5,8.6,"Health Care"
"119","DRI",0.0019,0,"22.25","1.45","2020",0.5,8.6,"Consumer Discretionary"
"120","DVA",0.0117,1,"4.72","1.34","2020",0.5,8.6,"Health Care"
"121","DE",0.0259,1,"9.72","3.04","2020",0.5,8.6,"Industrials"
"122","DAL",-0.0617,0,"17.28","-5.47","2020",0.5,8.6,"Consumer Discretionary"
"123","XRAY",-0.0321,0,"9.69","-2.61","2020",0.5,8.6,"Health Care"
"124","DVN",-0.063,0,"36.86","-4.17","2020",0.5,8.6,"Energy"
"125","DLR",0.031,1,"7.79","3.04","2020",0.5,8.6,"Real Estate"
"126","DFS",-0.0337,0,"19.39","-2.25","2020",0.5,8.6,"Finance"
"127","DISH",-0.0106,0,"21.11","0.17","2020",0.5,8.6,"Consumer Discretionary"
"128","DG",0.0324,1,"6.12","3.52","2020",0.5,8.6,"Consumer Discretionary"
"129","DLTR",-0.0049,0,"10.49","-0.01","2020",0.5,8.6,"Consumer Discretionary"
"130","D",-0.003,0,"6.28","-0.02","2020",0.5,8.6,"Utilities"
"131","DOV",-0.0091,0,"9.21","-0.3","2020",0.5,8.6,"Industrials"
"132","DTE",-0.0116,0,"8.82","-0.61","2020",0.5,8.6,"Utilities"
"133","DUK",-0.007,0,"6.72","-0.45","2020",0.5,8.6,"Utilities"
"134","DRE",0.0098,1,"6.98","1.24","2020",0.5,8.6,"Real Estate"
"135","DXC",-0.0599,0,"25.44","-4.48","2020",0.5,8.6,"Technology"
"136","EMN",0.0033,0,"15.63","1.23","2020",0.5,8.6,"Industrials"
"137","ETN",0.0056,0,"7.19","1.01","2020",0.5,8.6,"Industrials"
"138","EBAY",0.0442,1,"13.95","5.14","2020",0.5,8.6,"Consumer Discretionary"
"139","ECL",0.0043,0,"11.34","1.04","2020",0.5,8.6,"Consumer Discretionary"
"140","EIX",-0.0385,0,"7.93","-3.42","2020",0.5,8.6,"Utilities"
"141","EW",-3e-04,0,"9.93","0.54","2020",0.5,8.6,"Health Care"
"142","EA",0.02,1,"7.06","2.37","2020",0.5,8.6,"Consumer Discretionary"
"143","EMR",-0.0168,0,"13.54","-0.8","2020",0.5,8.6,"Industrials"
"144","ETR",-0.0193,0,"10.67","-1.48","2020",0.5,8.6,"Utilities"
"145","EOG",-0.0789,0,"20.78","-6.62","2020",0.5,8.6,"Energy"
"146","EQT",0.0698,1,"41.77","8.4","2020",0.5,8.6,"Energy"
"147","EFX",0.0116,1,"10.5","1.73","2020",0.5,8.6,"Finance"
"148","EQIX",0.0326,1,"5.26","3.36","2020",0.5,8.6,"Real Estate"
"149","EQR",-0.046,0,"7.88","-4.21","2020",0.5,8.6,"Real Estate"
"150","ESS",-0.042,0,"8.91","-3.68","2020",0.5,8.6,"Real Estate"
"151","EL",0.0032,0,"9.31","0.89","2020",0.5,8.6,"Consumer Discretionary"
"152","RE",-0.0325,0,"11.07","-2.81","2020",0.5,8.6,"Finance"
"153","ES",0.0014,0,"6.8","0.4","2020",0.5,8.6,"Utilities"
"154","EXC",-0.0256,0,"6.95","-2.23","2020",0.5,8.6,"Utilities"
"155","EXPE",-0.0119,0,"20.14","0.08","2020",0.5,8.6,"Consumer Discretionary"
"156","EXPD",0.0169,1,"6.3","2.01","2020",0.5,8.6,"Consumer Discretionary"
"157","EXR",0.0067,0,"7.48","0.81","2020",0.5,8.6,"Real Estate"
"158","XOM",-0.0723,0,"13.6","-6.38","2020",0.5,8.6,"Energy"
"159","FFIV",-0.0135,0,"12.83","-0.74","2020",0.5,8.6,"Technology"
"160","FB",0.0235,1,"12.43","3.15","2020",0.5,8.6,NA
"161","FAST",0.0225,1,"9.37","2.81","2020",0.5,8.6,"Basic Materials"
"162","FRT",-0.0518,0,"13.66","-4.46","2020",0.5,8.6,"Real Estate"
"163","FDX",0.0601,1,"13.81","6.55","2020",0.5,8.6,"Consumer Discretionary"
"164","FIS",0.0058,0,"6.8","0.98","2020",0.5,8.6,"Consumer Discretionary"
"165","FITB",-0.0347,0,"17.28","-2.4","2020",0.5,8.6,"Finance"
"166","FE",-0.0481,0,"10.07","-4.66","2020",0.5,8.6,"Utilities"
"167","FISV",-0.0132,0,"7.18","-0.97","2020",0.5,8.6,"Consumer Discretionary"
"168","FLS",-0.0608,0,"16.68","-5.07","2020",0.5,8.6,"Industrials"
"169","FLR",-0.0524,0,"31.54","-3.61","2020",0.5,8.6,"Industrials"
"170","FMC",0.0054,0,"7.13","0.98","2020",0.5,8.6,"Industrials"
"171","FL",-0.0103,0,"15.93","-0.16","2020",0.5,8.6,"Consumer Discretionary"
"172","F",-0.035,0,"14.39","-2.64","2020",0.5,8.6,"Consumer Discretionary"
"173","FTV",-0.002,0,"10.76","0.38","2020",0.5,8.6,"Industrials"
"174","FBHS",0.0341,1,"16.64","4.35","2020",0.5,8.6,NA
"175","BEN",-0.0232,0,"10.99","-1.66","2020",0.5,8.6,"Finance"
"176","FCX",0.0249,1,"21.07","3.74","2020",0.5,8.6,"Basic Materials"
"177","GPS",0.0216,1,"26.97","3.6","2020",0.5,8.6,"Consumer Discretionary"
"178","GRMN",-0.0033,0,"9","0.21","2020",0.5,8.6,"Industrials"
"179","IT",-0.0247,0,"12.82","-1.64","2020",0.5,8.6,"Finance"
"180","GD",-0.0265,0,"8.26","-2.23","2020",0.5,8.6,"Industrials"
"181","GE",-0.0682,0,"10.66","-6.54","2020",0.5,8.6,"Consumer Discretionary"
"182","GIS",0.0181,1,"6.68","2.03","2020",0.5,8.6,"Consumer Staples"
"183","GM",-0.0248,0,"15.08","-1.65","2020",0.5,8.6,"Consumer Discretionary"
"184","GPC",-0.0101,0,"11.59","-0.31","2020",0.5,8.6,"Consumer Discretionary"
"185","GILD",0.0019,0,"8.16","0.06","2020",0.5,8.6,"Health Care"
"186","GPN",-0.0054,0,"10.45","0.05","2020",0.5,8.6,"Consumer Discretionary"
"187","GS",-0.0182,0,"12.19","-1.02","2020",0.5,8.6,"Finance"
"188","GT",-0.0647,0,"21.16","-5.12","2020",0.5,8.6,"Consumer Discretionary"
"189","GWW",0.0025,0,"9.67","0.81","2020",0.5,8.6,"Consumer Discretionary"
"190","HAL",-0.042,0,"31.82","-2.1","2020",0.5,8.6,"Energy"
"191","HBI",0.0198,1,"20.06","3.15","2020",0.5,8.6,"Consumer Discretionary"
"192","HOG",-0.0434,0,"16.46","-3.33","2020",0.5,8.6,"Consumer Discretionary"
"193","HIG",-0.0529,0,"12.18","-4.54","2020",0.5,8.6,"Finance"
"194","HAS",-0.0254,0,"9.35","-2.13","2020",0.5,8.6,"Consumer Discretionary"
"195","HCA",-0.0179,0,"18.21","-0.75","2020",0.5,8.6,"Health Care"
"196","HP",-0.0928,0,"22.05","-8.04","2020",0.5,8.6,"Energy"
"197","HSIC",-0.0152,0,"11.72","-0.89","2020",0.5,8.6,"Health Care"
"198","HES",-0.0415,0,"22.99","-2.96","2020",0.5,8.6,"Energy"
"199","HPE",-0.0561,0,"8.64","-5.14","2020",0.5,8.6,"Telecommunications"
"200","HLT",-0.0263,0,"14.14","-1.78","2020",0.5,8.6,"Consumer Discretionary"
"201","HOLX",0.0344,1,"20.51","4.46","2020",0.5,8.6,"Health Care"
"202","HD",0.0239,1,"9.58","3.01","2020",0.5,8.6,"Consumer Discretionary"
"203","HON",-0.0102,0,"8.28","-0.52","2020",0.5,8.6,"Industrials"
"204","HRL",0.0138,1,"7.1","1.41","2020",0.5,8.6,"Consumer Staples"
"205","HST",-0.0569,0,"9.86","-5.07","2020",0.5,8.6,"Real Estate"
"206","HPQ",-0.0051,0,"9.84","-0.3","2020",0.5,8.6,"Technology"
"207","HUM",0.0107,1,"9.07","1.52","2020",0.5,8.6,"Health Care"
"208","HBAN",-0.0488,0,"12.45","-4.14","2020",0.5,8.6,"Finance"
"209","HII",-0.0619,0,"9.16","-5.82","2020",0.5,8.6,"Industrials"
"210","IDXX",0.0412,1,"9.27","4.6","2020",0.5,8.6,"Health Care"
"211","ITW",0.0069,1,"8.37","1.24","2020",0.5,8.6,"Industrials"
"212","ILMN",-0.0063,0,"10.87","-0.23","2020",0.5,8.6,"Health Care"
"213","INCY",0.0043,0,"13.64","0.93","2020",0.5,8.6,"Health Care"
"214","IR",-0.0033,0,"12.48","0.42","2020",0.5,8.6,"Industrials"
"215","INTC",-0.0147,0,"10.11","-1.23","2020",0.5,8.6,"Technology"
"216","ICE",0.007,1,"8.88","1.22","2020",0.5,8.6,"Finance"
"217","IBM",-0.0103,0,"8.07","-0.55","2020",0.5,8.6,"Technology"
"218","IP",-0.0092,0,"9.31","-0.49","2020",0.5,8.6,"Industrials"
"219","IPG",-0.0308,0,"8.99","-2.56","2020",0.5,8.6,"Consumer Discretionary"
"220","IFF",-0.0038,0,"12.03","0.27","2020",0.5,8.6,"Industrials"
"221","INTU",0.0204,1,"9.75","2.68","2020",0.5,8.6,"Technology"
"222","ISRG",0.0162,1,"9.71","2.06","2020",0.5,8.6,"Health Care"
